no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
8039,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:14,2022-05-04 오전 7:21:32,성북구,월곡제2동,종로구,이화동,2022/05/04 7:00,2022/05/04 7:21,21,7,37.6,127.04,37.58,127
1528,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:11,2022-05-04 오전 7:35:25,강서구,가양제2동,영등포구,양평제2동,2022/05/04 7:00,2022/05/04 7:35,35,7,37.56,126.85,37.53,126.89
5711,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:48,2022-05-04 오전 7:37:58,강서구,화곡본동,강서구,발산제1동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.54,126.84,37.55,126.83
587,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:23,2022-05-04 오전 7:40:00,강서구,등촌제3동,은평구,구산동,2022/05/04 7:00,2022/05/04 7:40,40,7,37.55,126.84,37.6,126.9
7647,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:47,2022-05-04 오전 7:21:17,구로구,개봉제1동,구로구,구로제5동,2022/05/04 7:00,2022/05/04 7:21,21,7,37.5,126.85,37.5,126.88
1375,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:15,2022-05-04 오전 7:37:51,양천구,목3동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.54,126.86,37.57,126.93
7817,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:48,2022-05-04 오전 7:18:50,동작구,신대방제1동,금천구,독산제3동,2022/05/04 7:00,2022/05/04 7:18,18,7,37.49,126.91,37.47,126.9
7817,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:29:33,2022-05-04 오전 7:36:27,금천구,독산제4동,영등포구,대림제1동,2022/05/04 7:00,2022/05/04 7:36,36,7,37.46,126.9,37.49,126.9
6771,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:05,2022-05-04 오전 7:27:54,성동구,금호4가동,마포구,상암동,2022/05/04 7:00,2022/05/04 7:27,27,7,37.55,127.02,37.58,126.89
5623,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:12,2022-05-04 오전 7:25:04,노원구,상계2동,강동구,둔촌제2동,2022/05/04 7:00,2022/05/04 7:25,25,7,37.65,127.06,37.53,127.14
9166,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:34,2022-05-04 오전 7:24:29,중구,황학동,구리시,동구동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.56,127.01,,
8195,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:51,2022-05-04 오전 7:16:06,성동구,성수1가제1동,성동구,송정동,2022/05/04 7:00,2022/05/04 7:16,16,7,37.54,127.05,37.55,127.07
8373,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:58:54,2022-05-04 오전 7:07:45,관악구,난곡동,종로구,이화동,2022/05/04 7:00,2022/05/04 7:07,7,7,37.47,126.92,37.58,127
801,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:25:49,2022-05-04 오전 7:48:50,동작구,상도제2동,동작구,신대방제2동,2022/05/04 7:00,2022/05/04 7:48,48,7,37.51,126.94,37.49,126.92
818,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:22,2022-05-04 오전 7:23:03,영등포구,신길제3동,관악구,청룡동,2022/05/04 7:00,2022/05/04 7:23,23,7,37.5,126.9,37.48,126.94
7900,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:22:47,2022-05-04 오전 7:41:36,강서구,가양제2동,강서구,등촌제3동,2022/05/04 7:00,2022/05/04 7:41,41,7,37.56,126.85,37.55,126.84
