,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
45,5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:22:16,강동구,둔촌제2동,강동구,둔촌제2동,2022/05/07 7:00,2022/05/07 7:22,22,7,37.53,127.14,37.53,127.14
46,8260,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:24,2022-05-07 오전 7:19:36,강남구,논현2동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.51,127.03,37.49,127.05
47,4844,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:07,관악구,인헌동,관악구,인헌동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.96,37.47,126.96
48,9156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:41,2022-05-07 오전 7:19:42,관악구,난곡동,영등포구,대림제1동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.47,126.92,37.49,126.9
49,3576,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:58,2022-05-07 오전 7:25:14,송파구,송파1동,송파구,송파1동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.5,127.1,37.5,127.1
50,7920,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:08,2022-05-07 오전 7:17:22,구로구,오류제1동,구로구,고척제1동,2022/05/07 7:00,2022/05/07 7:17,17,7,37.49,126.84,37.5,126.86
51,5787,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:54,2022-05-07 오전 7:18:43,강서구,방화제2동,강서구,발산제1동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.56,126.8,37.55,126.83
53,5758,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:21:42,송파구,가락본동,송파구,풍납2동,2022/05/07 7:00,2022/05/07 7:21,21,7,37.49,127.12,37.53,127.11
54,1506,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:30,2022-05-07 오전 7:29:46,은평구,불광제1동,은평구,불광제1동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.61,126.93,37.62,126.93
55,3692,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:38,2022-05-07 오전 7:27:26,서대문구,연희동,서대문구,홍은제2동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.57,126.93,37.59,126.93
56,1566,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:18,2022-05-07 오전 7:19:09,성동구,마장동,중구,신당제3동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.56,127.04,37.56,127.01
57,6074,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:05:15,2022-05-07 오전 7:20:49,광진구,중곡제4동,광진구,자양제1동,2022/05/07 7:00,2022/05/07 7:20,20,7,37.56,127.09,37.53,127.08
58,8176,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:12,2022-05-07 오전 7:26:00,도봉구,쌍문제4동,도봉구,쌍문제2동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.65,127.03,37.66,127.03
59,3644,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:30,2022-05-07 오전 7:27:58,영등포구,신길제3동,영등포구,신길제1동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.5,126.9,37.51,126.91
60,5761,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:38,2022-05-07 오전 7:13:29,도봉구,방학제2동,동대문구,장안제2동,2022/05/07 7:00,2022/05/07 7:13,13,7,37.67,127.03,37.58,127.07
61,1528,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:29:36,강서구,등촌제3동,강서구,가양제1동,2022/05/07 7:00,2022/05/07 7:29,29,7,37.55,126.84,37.57,126.83
62,3705,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:41,2022-05-07 오전 7:27:38,강북구,수유제2동,강북구,인수동,2022/05/07 7:00,2022/05/07 7:27,27,7,37.64,127.02,37.63,127
63,8010,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:47,2022-05-07 오전 7:23:00,서대문구,홍은제1동,서대문구,홍제제1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.6,126.95,37.58,126.94
64,8105,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:28,2022-05-07 오전 7:23:19,강남구,일원1동,강남구,대치1동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.49,127.08,37.49,127.05
65,7914,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:49,2022-05-07 오전 7:16:08,강남구,수서동,동작구,노량진제1동,2022/05/07 7:00,2022/05/07 7:16,16,7,37.485,127.1,37.51,126.95
66,8188,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:37,2022-05-07 오전 7:20:37,성북구,길음제1동,종로구,이화동,2022/05/07 7:00,2022/05/07 7:20,20,7,37.61,127.02,37.58,127
67,8095,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:00:42,2022-05-07 오전 7:19:45,송파구,장지동,강남구,수서동,2022/05/07 7:00,2022/05/07 7:19,19,7,37.48,127.13,37.48,127.1
68,5754,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:01:31,2022-05-07 오전 7:24:25,구로구,구로제5동,구로구,고척제1동,2022/05/07 7:00,2022/05/07 7:24,24,7,37.5,126.89,37.5,126.86
69,4634,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:00,2022-05-07 오전 7:18:21,성북구,장위제1동,종로구,혜화동,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.04,37.58,126.99
70,8054,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:26:09,양천구,목1동,강서구,화곡제6동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.52,126.87,37.55,126.85
71,9155,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:03:26,2022-05-07 오전 7:23:12,강남구,수서동,송파구,잠실2동,2022/05/07 7:00,2022/05/07 7:23,23,7,37.485,127.1,37.51,127.18
72,7658,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:59,2022-05-07 오전 7:25:27,동작구,상도제2동,관악구,서원동,2022/05/07 7:00,2022/05/07 7:25,25,7,37.51,126.94,37.48,126.93
73,8262,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:10:06,2022-05-07 오전 7:26:45,용산구,한남동,마포구,도화동,2022/05/07 7:00,2022/05/07 7:26,26,7,37.53,127,37.54,126.95
