,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
1166,4978,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:53,2022-05-04 오전 7:38:32,강북구,인수동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:38,38,7,37.64,127.01,37.57,126.93
1167,7626,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:02,2022-05-04 오전 7:34:05,강북구,번제2동,노원구,월계2동,2022/05/04 7:00,2022/05/04 7:34,34,7,37.63,127.04,37.63,127.05
1168,9153,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:10,2022-05-04 오전 7:24:38,강서구,가양제3동,강서구,방화제2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.56,126.86,37.56,126.8
1169,9153,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:53:12,2022-05-04 오전 8:17:46,강서구,화곡제3동,영등포구,양평제2동,2022/05/04 7:00,2022/05/04 8:17,77,7,37.54,126.83,37.53,126.89
1170,8711,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:48,2022-05-04 오전 7:20:12,영등포구,대림제1동,서대문구,남가좌제2동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.49,126.9,37.58,126.92
1171,8579,대형 승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:53:13,2022-05-04 오전 7:16:22,성북구,돈암제2동,강남구,대치4동,2022/05/04 7:00,2022/05/04 7:16,16,7,37.59,127.01,37.5,127.05
1172,1558,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:34:04,2022-05-04 오전 7:50:52,강북구,삼각산동,성북구,안암동,2022/05/04 7:00,2022/05/04 7:50,50,7,37.61,127.01,37.58,127.03
1173,1558,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:03,2022-05-04 오전 7:20:39,성북구,삼선동,성북구,길음제2동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.59,127.01,37.6,127.02
1174,9156,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:23,2022-05-04 오전 7:19:53,구로구,구로제3동,구로구,구로제3동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.48,126.89,37.48,126.89
1175,3205,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:34:33,2022-05-04 오전 7:14:36,강북구,번제2동,영등포구,영등포동,2022/05/04 7:00,2022/05/04 7:14,14,7,37.63,127.04,37.52,126.9
1176,3837,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:59:18,2022-05-04 오전 7:09:14,중랑구,면목제7동,종로구,종로5.6가동,2022/05/04 7:00,2022/05/04 7:09,9,7,37.58,127.08,37.57,127
1177,3148,중형 승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:19,2022-05-04 오전 7:32:20,동대문구,장안제4동,은평구,구산동,2022/05/04 7:00,2022/05/04 7:32,32,7,37.57,127.07,37.6,126.9
1178,3803,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:59,2022-05-04 오전 7:40:56,관악구,청림동,강남구,삼성1동,2022/05/04 7:00,2022/05/04 7:40,40,7,37.49,126.96,37.51,127.06
1179,817,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:50,2022-05-04 오전 7:22:20,송파구,풍납1동,강남구,삼성2동,2022/05/04 7:00,2022/05/04 7:22,22,7,37.53,127.12,37.51,127.05
1180,8043,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:22,2022-05-04 오전 7:35:16,도봉구,방학제2동,종로구,종로1.2.3.4가동,2022/05/04 7:00,2022/05/04 7:35,35,7,37.67,127.03,37.57,126.98
1181,8063,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:36,2022-05-04 오전 7:18:25,노원구,중계1동,중랑구,면목제3.8동,2022/05/04 7:00,2022/05/04 7:18,18,7,37.65,127.07,37.58,127.1
1182,3571,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:56,2022-05-04 오전 7:29:06,영등포구,신길제4동,중구,명동,2022/05/04 7:00,2022/05/04 7:29,29,7,37.5,126.91,37.56,126.98
1183,3208,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:14:03,2022-05-04 오전 6:38:51,송파구,잠실2동,영등포구,양평제2동,2022/05/04 7:00,2022/05/04 6:38,22,7,37.51,127.08,37.53,126.89
1184,8004,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:52,2022-05-04 오전 7:37:11,서대문구,홍은제2동,서대문구,북가좌제1동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.58,126.93,37.57,126.91
1185,5726,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:15,2022-05-04 오전 7:28:08,강북구,삼양동,관악구,낙성대동,2022/05/04 7:00,2022/05/04 7:28,28,7,37.61,127.01,37.46,126.95
1186,8051,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:30,2022-05-04 오전 7:17:39,마포구,성산제2동,동대문구,답십리제3동,2022/05/04 7:00,2022/05/04 7:17,17,7,37.57,126.9,37.56,127.06
1187,8176,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:37,2022-05-04 오전 7:19:19,노원구,상계8동,영등포구,영등포동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.66,127.05,37.52,126.9
1188,5705,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:21,2022-05-04 오전 7:17:22,서대문구,홍은제2동,마포구,대흥동,2022/05/04 7:00,2022/05/04 7:17,17,7,37.58,126.93,37.54,126.94
1189,3673,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:00,2022-05-04 오전 7:37:25,강서구,방화제3동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.57,126.81,37.57,126.93
1190,5751,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:03:08,2022-05-04 오전 7:23:41,강북구,번제3동,중랑구,망우본동,2022/05/04 7:00,2022/05/04 7:23,23,7,37.62,127.04,37.6,127.1
1191,830,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:22,2022-05-04 오전 7:25:22,노원구,상계8동,강북구,인수동,2022/05/04 7:00,2022/05/04 7:25,25,7,37.66,127.05,37.63,127
1192,4972,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:00,2022-05-04 오전 7:16:51,구로구,개봉제3동,종로구,이화동,2022/05/04 7:00,2022/05/04 7:16,16,7,37.48,126.85,37.58,127
1193,9681,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:39:20,2022-05-04 오전 6:47:38,은평구,응암제2동,서초구,반포4동,2022/05/04 7:00,2022/05/04 6:47,13,7,37.59,126.92,37.5,127
1194,803,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:03:41,2022-05-04 오전 7:22:45,종로구,무악동,마포구,염리동,2022/05/04 7:00,2022/05/04 7:22,22,7,37.57,126.95,37.55,126.94
1195,836,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:48,2022-05-04 오전 7:30:58,용산구,이태원제1동,강북구,미아동,2022/05/04 7:00,2022/05/04 7:30,30,7,37.53,127,37.62,127.02
1196,8075,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:57,2022-05-04 오전 7:12:46,영등포구,영등포동,서대문구,연희동,2022/05/04 7:00,2022/05/04 7:12,12,7,37.52,126.9,37.57,126.93
1197,3256,중형 승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:29:08,2022-05-04 오전 6:47:26,도봉구,도봉제1동,서초구,서초2동,2022/05/04 7:00,2022/05/04 6:47,13,7,37.68,127.04,37.49,127.02
1198,804,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:51,2022-05-04 오전 7:19:03,노원구,월계2동,종로구,종로1.2.3.4가동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.63,127.05,37.57,126.98
1199,8164,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:16,2022-05-04 오전 7:25:46,강서구,가양제1동,종로구,부암동,2022/05/04 7:00,2022/05/04 7:25,25,7,37.57,126.84,37.59,126.96
1200,1572,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:21,2022-05-04 오전 7:15:16,강남구,수서동,서초구,양재2동,2022/05/04 7:00,2022/05/04 7:15,15,7,37.485,127.1,37.45,127.05
1201,7643,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:39,2022-05-04 오전 7:20:28,중랑구,망우본동,은평구,구산동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.6,127.1,37.6,126.9
1202,1406,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:11:30,2022-05-04 오전 7:24:24,영등포구,신길제6동,동작구,신대방제2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.49,126.91,37.49,126.92
1204,7920,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:34,2022-05-04 오전 7:16:28,구로구,고척제2동,구로구,고척제1동,2022/05/04 7:00,2022/05/04 7:16,16,7,37.5,126.85,37.5,126.86
1205,7931,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:21,2022-05-04 오전 7:21:15,중랑구,중화제1동,종로구,교남동,2022/05/04 7:00,2022/05/04 7:21,21,7,37.6,127.08,37.57,126.96
1206,9150,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:40,2022-05-04 오전 7:29:53,성동구,마장동,강동구,둔촌제2동,2022/05/04 7:00,2022/05/04 7:29,29,7,37.56,127.04,37.53,127.14
1207,9161,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:46,2022-05-04 오전 7:24:17,송파구,장지동,송파구,잠실2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.48,127.13,37.51,127.18
1208,6749,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:14,2022-05-04 오전 7:32:15,강남구,논현1동,서초구,반포3동,2022/05/04 7:00,2022/05/04 7:32,32,7,37.51,127.02,37.51,127
1209,3711,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:01:07,2022-05-04 오전 7:11:52,강남구,수서동,중랑구,신내1동,2022/05/04 7:00,2022/05/04 7:11,11,7,37.485,127.1,37.61,127.1
1210,7894,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:57,2022-05-04 오전 7:18:48,노원구,중계2.3동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:18,18,7,37.64,127.06,37.57,126.93
1211,7818,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:58,2022-05-04 오전 7:34:44,도봉구,방학제3동,도봉구,도봉제1동,2022/05/04 7:00,2022/05/04 7:34,34,7,37.65,127.02,37.68,127.04
1212,6200,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:39:21,2022-05-04 오전 7:57:23,강서구,등촌제3동,종로구,종로1.2.3.4가동,2022/05/04 7:00,2022/05/04 7:57,57,7,37.55,126.84,37.57,126.98
1213,816,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:50,2022-05-04 오전 7:27:59,노원구,월계1동,노원구,월계1동,2022/05/04 7:00,2022/05/04 7:27,27,7,37.62,127.06,37.62,127.05
1214,6388,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:15,2022-05-04 오전 7:13:57,동작구,신대방제2동,구로구,구로제2동,2022/05/04 7:00,2022/05/04 7:13,13,7,37.5,126.92,37.5,126.87
1215,9158,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:34,2022-05-04 오전 7:35:53,강북구,삼각산동,강북구,삼양동,2022/05/04 7:00,2022/05/04 7:35,35,7,37.61,127.01,37.62,127.01
1216,5699,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:03:50,2022-05-04 오전 7:10:50,중랑구,신내2동,중랑구,묵제1동,2022/05/04 7:00,2022/05/04 7:10,10,7,37.61,127.09,37.61,127.08
1217,7658,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:06,2022-05-04 오전 7:20:52,관악구,보라매동,동작구,사당제3동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.48,126.93,37.49,126.97
1218,6742,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:20,2022-05-04 오전 7:18:59,중랑구,묵제1동,마포구,상암동,2022/05/04 7:00,2022/05/04 7:18,18,7,37.61,127.08,37.58,126.89
1219,7640,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:51:18,2022-05-04 오전 8:21:58,강북구,우이동,도봉구,쌍문제1동,2022/05/04 7:00,2022/05/04 8:21,81,7,37.65,127,37.65,127.02
1220,4734,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:07:31,2022-05-04 오전 7:25:55,강북구,번제2동,성북구,길음제1동,2022/05/04 7:00,2022/05/04 7:25,25,7,37.63,127.04,37.61,127.02
1221,3127,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:59:11,2022-05-04 오전 7:07:05,강서구,가양제1동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:07,7,7,37.57,126.84,37.57,126.93
1222,3563,중형 승합,2022-05-04 오전 7:00:46,2022-05-04 오전 7:50:15,2022-05-04 오전 8:03:07,강서구,가양제3동,마포구,상암동,2022/05/04 7:00,2022/05/04 8:03,63,7,37.56,126.86,37.58,126.89
1223,9156,중형 승합,2022-05-04 오전 7:00:49,2022-05-04 오전 7:31:00,2022-05-04 오전 7:47:06,동작구,신대방제2동,강남구,일원본동,2022/05/04 7:00,2022/05/04 7:47,47,7,37.5,126.92,37.48,127.08
1224,8237,중형승합,2022-05-04 오전 7:00:55,2022-05-04 오전 7:54:56,2022-05-04 오전 8:31:12,송파구,장지동,종로구,종로1.2.3.4가동,2022/05/04 7:00,2022/05/04 8:31,91,7,37.48,127.13,37.57,126.98
1225,1634,중형승용,2022-05-04 오전 7:00:56,2022-05-04 오전 7:16:28,2022-05-04 오전 7:41:05,동작구,상도제1동,강서구,방화제1동,2022/05/04 7:00,2022/05/04 7:41,41,7,37.5,126.95,37.57,126.81
1226,3640,중형 승합,2022-05-04 오전 7:01:17,2022-05-04 오전 7:22:09,2022-05-04 오전 7:44:36,서대문구,남가좌제2동,은평구,역촌동,2022/05/04 7:01,2022/05/04 7:44,43,7,37.58,126.92,37.6,126.91
1227,6994,대형승용,2022-05-04 오전 7:01:28,2022-05-04 오전 7:06:59,2022-05-04 오전 7:18:59,도봉구,도봉제2동,서대문구,신촌동,2022/05/04 7:01,2022/05/04 7:18,17,7,37.68,127.05,37.57,126.93
1228,8036,중형 승합,2022-05-04 오전 7:01:46,2022-05-04 오전 7:11:11,2022-05-04 오전 7:31:23,강북구,번제3동,서대문구,신촌동,2022/05/04 7:01,2022/05/04 7:31,30,7,37.62,127.04,37.57,126.93
1229,8247,중형승합,2022-05-04 오전 7:02:33,2022-05-04 오전 7:06:32,2022-05-04 오전 7:37:11,노원구,공릉2동,동대문구,장안제1동,2022/05/04 7:02,2022/05/04 7:37,35,7,37.62,127.08,37.56,127.06
1230,7920,중형승합,2022-05-04 오전 7:03:00,2022-05-04 오전 7:26:28,2022-05-04 오전 8:04:01,구로구,고척제1동,중랑구,신내1동,2022/05/04 7:03,2022/05/04 8:04,61,7,37.5,126.86,37.61,127.1
1231,7640,중형승합,2022-05-04 오전 7:03:23,2022-05-04 오전 7:12:49,2022-05-04 오전 7:33:47,노원구,월계1동,노원구,상계6.7동,2022/05/04 7:03,2022/05/04 7:33,30,7,37.62,127.06,37.65,127.06
1232,7900,중형승합,2022-05-04 오전 7:04:00,2022-05-04 오전 7:51:45,2022-05-04 오전 8:02:40,강서구,우장산동,마포구,성산제2동,2022/05/04 7:04,2022/05/04 8:02,58,7,37.54,126.84,37.56,126.9
1233,9128,중형 승합,2022-05-04 오전 7:04:22,2022-05-04 오전 7:47:37,2022-05-04 오전 8:05:41,강서구,화곡제4동,구로구,수궁동,2022/05/04 7:04,2022/05/04 8:05,61,7,37.53,126.86,37.49,126.83
1234,3604,중형 승합,2022-05-04 오전 7:05:35,2022-05-04 오전 7:08:45,2022-05-04 오전 7:24:31,중랑구,중화제1동,동대문구,휘경제2동,2022/05/04 7:05,2022/05/04 7:24,19,7,37.6,127.08,37.59,127.07
1236,1569,중형 승합,2022-05-04 오전 7:06:00,2022-05-04 오전 7:15:01,2022-05-04 오전 7:31:56,광진구,중곡제3동,광진구,중곡제1동,2022/05/04 7:06,2022/05/04 7:31,25,7,37.57,127.08,37.56,127.07
1237,7825,중형승합,2022-05-04 오전 7:07:00,2022-05-04 오전 7:30:49,2022-05-04 오전 7:46:46,마포구,아현동,종로구,청운효자동,2022/05/04 7:07,2022/05/04 7:46,39,7,37.55,126.95,37.58,126.97
1238,6388,중형승용,2022-05-04 오전 7:07:26,2022-05-04 오전 7:29:51,2022-05-04 오전 7:43:28,영등포구,신길제6동,마포구,상암동,2022/05/04 7:07,2022/05/04 7:43,36,7,37.49,126.91,37.58,126.89
1239,7514,중형승합,2022-05-04 오전 7:07:57,2022-05-04 오전 8:22:03,2022-05-04 오전 8:43:08,강동구,강일동,강동구,길동,2022/05/04 7:07,2022/05/04 8:43,96,7,37.56,127.17,37.53,127.14
1240,1569,중형 승합,2022-05-04 오전 7:08:00,2022-05-04 오전 7:37:42,2022-05-04 오전 8:00:42,성동구,성수1가제2동,광진구,화양동,2022/05/04 7:08,2022/05/04 8:00,52,7,37.55,127.04,37.54,127.07
1241,4734,중형 승합,2022-05-04 오전 7:08:22,2022-05-04 오전 7:56:11,2022-05-04 오전 8:19:14,강북구,인수동,노원구,하계1동,2022/05/04 7:08,2022/05/04 8:19,71,7,37.64,127.01,37.64,127.07
1242,5795,중형승합,2022-05-04 오전 7:08:50,2022-05-04 오전 8:32:33,2022-05-04 오전 8:46:52,강서구,발산제1동,마포구,성산제2동,2022/05/04 7:08,2022/05/04 8:46,98,7,37.55,126.83,37.56,126.9
1243,3924,중형승용,2022-05-04 오전 7:09:00,2022-05-04 오전 7:20:54,2022-05-04 오전 7:53:33,송파구,풍납2동,송파구,잠실6동,2022/05/04 7:09,2022/05/04 7:53,44,7,37.53,127.11,37.51,127.1
1244,8166,중형 승합,2022-05-04 오전 7:09:03,2022-05-04 오전 8:00:18,2022-05-04 오전 8:13:46,강동구,성내제3동,강동구,암사제3동,2022/05/04 7:09,2022/05/04 8:13,64,7,37.52,127.13,37.56,127.13
1245,7906,중형승합,2022-05-05 오전 12:05:09,2022-05-05 오전 12:07:51,2022-05-05 오전 12:18:33,금천구,가산동,동작구,신대방제2동,2022/05/05 0:05,2022/05/05 0:18,13,0,37.47,126.89,37.49,126.92
1247,7652,중형승합,2022-05-05 오전 12:33:00,2022-05-05 오전 1:35:02,2022-05-05 오전 1:52:51,노원구,중계2.3동,노원구,월계2동,2022/05/05 0:33,2022/05/05 1:52,79,0,37.64,127.06,37.63,127.05
1248,7652,중형승합,2022-05-05 오전 12:33:00,2022-05-05 오전 1:35:02,2022-05-05 오전 1:52:51,노원구,중계2.3동,노원구,월계2동,2022/05/05 0:33,2022/05/05 1:52,79,0,37.64,127.06,37.63,127.05
1249,5783,중형승합,2022-05-05 오전 12:34:00,2022-05-05 오전 12:36:00,2022-05-05 오전 12:36:09,마포구,공덕동,양천구,목3동,2022/05/05 0:34,2022/05/05 0:36,2,0,37.55,126.96,37.54,126.86
1250,8075,중형 승합,2022-05-05 오전 12:38:00,2022-05-05 오전 1:48:09,2022-05-05 오전 2:29:31,구로구,오류제1동,도봉구,창제4동,2022/05/05 0:38,2022/05/05 2:29,111,0,37.49,126.84,37.65,127.05
1251,821,중형승합,2022-05-05 오전 12:51:00,2022-05-05 오전 1:26:23,2022-05-05 오전 1:58:06,중구,회현동,강서구,등촌제3동,2022/05/05 0:51,2022/05/05 1:58,67,0,37.55,126.98,37.55,126.84
1252,8014,중형 승합,2022-05-05 오전 12:52:00,2022-05-05 오전 1:46:42,2022-05-05 오전 2:09:58,중구,회현동,강서구,등촌제3동,2022/05/05 0:52,2022/05/05 2:09,77,0,37.55,126.98,37.55,126.84
1253,5783,중형승합,2022-05-05 오전 12:59:00,2022-05-05 오전 1:38:25,2022-05-05 오전 1:46:02,강서구,등촌제3동,은평구,수색동,2022/05/05 0:59,2022/05/05 1:46,47,0,37.55,126.84,37.58,126.89
1254,8229,중형승합,2022-05-05 오전 1:02:30,2022-05-05 오전 1:04:46,2022-05-05 오전 1:33:26,성북구,성북동,동작구,노량진제2동,2022/05/05 1:02,2022/05/05 1:33,31,1,37.59,127,37.51,126.93
1255,8159,중형 승합,2022-05-05 오전 1:15:00,2022-05-05 오전 1:26:12,2022-05-05 오전 1:38:24,중랑구,중화제1동,노원구,하계1동,2022/05/05 1:15,2022/05/05 1:38,23,1,37.6,127.08,37.64,127.07
1256,5783,중형승합,2022-05-05 오전 1:16:37,2022-05-05 오전 2:05:47,2022-05-05 오전 2:38:13,강서구,가양제1동,강서구,방화제2동,2022/05/05 1:16,2022/05/05 2:38,82,1,37.57,126.84,37.56,126.8
1257,4844,중형 승합,2022-05-05 오전 1:31:00,2022-05-05 오전 1:52:56,2022-05-05 오전 2:16:15,강남구,압구정동,성동구,왕십리제2동,2022/05/05 1:31,2022/05/05 2:16,45,1,37.52,127.03,37.56,127.02
1258,821,중형승합,2022-05-05 오전 1:40:00,2022-05-05 오전 2:39:38,2022-05-05 오전 2:55:02,강서구,방화제1동,강서구,화곡제8동,2022/05/05 1:40,2022/05/05 2:55,75,1,37.56,126.81,37.53,126.84
1259,8231,중형승합,2022-05-05 오전 1:52:00,2022-05-05 오전 2:52:09,2022-05-05 오전 3:15:51,강서구,방화제1동,강서구,등촌제3동,2022/05/05 1:52,2022/05/05 3:15,83,1,37.56,126.81,37.55,126.84
1260,6774,중형승합,2022-05-05 오전 2:13:55,2022-05-05 오전 2:24:15,2022-05-05 오전 2:38:49,은평구,녹번동,중구,회현동,2022/05/05 2:13,2022/05/05 2:38,25,2,37.6,126.93,37.55,126.97
1261,7663,중형승합,2022-05-05 오전 2:35:00,2022-05-05 오전 2:44:57,2022-05-05 오전 3:22:34,관악구,행운동,서대문구,충현동,2022/05/05 2:35,2022/05/05 3:22,47,2,37.48,126.95,37.56,126.96
1262,7602,중형승합,2022-05-05 오전 2:51:00,2022-05-05 오전 3:38:09,2022-05-05 오전 3:56:46,은평구,대조동,강서구,가양제2동,2022/05/05 2:51,2022/05/05 3:56,65,2,37.61,126.92,37.56,126.85
1263,7906,중형승합,2022-05-05 오전 2:55:21,2022-05-05 오전 3:05:44,2022-05-05 오전 3:29:24,용산구,한강로동,동작구,신대방제2동,2022/05/05 2:55,2022/05/05 3:29,34,2,37.53,126.97,37.49,126.92
1264,8064,중형 승합,2022-05-05 오전 3:09:54,2022-05-05 오전 3:13:25,2022-05-05 오전 3:24:59,강남구,논현1동,강남구,세곡동,2022/05/05 3:09,2022/05/05 3:24,15,3,37.51,127.02,37.47,127.1
1265,8093,중형 승합,2022-05-05 오전 4:00:00,2022-05-05 오전 4:07:22,2022-05-05 오전 4:24:04,송파구,잠실본동,중랑구,신내2동,2022/05/05 4:00,2022/05/05 4:24,24,4,37.5,127.08,37.61,127.09
1266,8064,중형 승합,2022-05-05 오전 4:05:00,2022-05-05 오전 4:06:08,2022-05-05 오전 4:28:56,강남구,세곡동,강남구,수서동,2022/05/05 4:05,2022/05/05 4:28,23,4,37.46,127.1,37.48,127.1
1267,8215,중형승합,2022-05-05 오전 4:07:00,2022-05-05 오전 4:13:25,2022-05-05 오전 4:26:49,중랑구,묵제1동,강동구,둔촌제2동,2022/05/05 4:07,2022/05/05 4:26,19,4,37.61,127.08,37.53,127.14
1268,8231,중형승합,2022-05-05 오전 4:18:00,2022-05-05 오전 4:23:01,2022-05-05 오전 4:34:28,강서구,가양제2동,영등포구,여의동,2022/05/05 4:18,2022/05/05 4:34,16,4,37.56,126.85,37.52,126.92
1269,8159,중형 승합,2022-05-05 오전 4:19:00,2022-05-05 오전 4:21:01,2022-05-05 오전 4:29:58,중랑구,면목제5동,동대문구,휘경제2동,2022/05/05 4:19,2022/05/05 4:29,10,4,37.58,127.07,37.59,127.07
1270,821,중형승합,2022-05-05 오전 4:29:00,2022-05-05 오전 4:38:15,2022-05-05 오전 4:59:28,강남구,수서동,성동구,왕십리도선동,2022/05/05 4:29,2022/05/05 4:59,30,4,37.485,127.1,37.57,127.03
1271,1560,중형 승합,2022-05-05 오전 4:30:48,2022-05-05 오전 4:38:56,2022-05-05 오전 4:59:20,노원구,하계1동,도봉구,방학제1동,2022/05/05 4:30,2022/05/05 4:59,29,4,37.64,127.07,37.66,127.04
1272,7652,중형승합,2022-05-05 오전 4:32:50,2022-05-05 오전 4:40:52,2022-05-05 오전 5:05:11,강북구,수유제1동,도봉구,창제4동,2022/05/05 4:32,2022/05/05 5:05,33,4,37.63,127.01,37.65,127.05
1273,8229,중형승합,2022-05-05 오전 4:43:00,2022-05-05 오전 4:43:42,2022-05-05 오전 4:58:33,관악구,삼성동,관악구,서원동,2022/05/05 4:43,2022/05/05 4:58,15,4,37.47,126.93,37.48,126.93
1274,7913,중형승합,2022-05-05 오전 4:50:00,2022-05-05 오전 4:30:55,2022-05-05 오전 4:43:22,노원구,하계2동,성북구,석관동,2022/05/05 4:50,2022/05/05 4:43,7,4,37.63,127.06,37.6,127.06
1275,5783,중형승합,2022-05-05 오전 4:51:00,2022-05-05 오전 4:57:09,2022-05-05 오전 5:13:25,동대문구,신설동,동대문구,휘경제2동,2022/05/05 4:51,2022/05/05 5:13,22,4,37.57,127.02,37.59,127.07
1276,7913,중형승합,2022-05-05 오전 4:59:00,2022-05-05 오전 5:01:14,2022-05-05 오전 5:19:21,노원구,중계2.3동,노원구,상계6.7동,2022/05/05 4:59,2022/05/05 5:19,20,4,37.64,127.06,37.65,127.06
1277,1560,중형 승합,2022-05-05 오전 5:09:46,2022-05-05 오전 5:17:57,2022-05-05 오전 5:30:34,도봉구,도봉제2동,서대문구,홍제제2동,2022/05/05 5:09,2022/05/05 5:30,21,5,37.68,127.05,37.58,126.95
1278,4844,중형 승합,2022-05-05 오전 5:10:00,2022-05-05 오전 4:49:13,2022-05-05 오전 5:14:01,성북구,삼선동,서대문구,충현동,2022/05/05 5:10,2022/05/05 5:14,4,5,37.59,127.01,37.56,126.96
1279,6774,중형승합,2022-05-05 오전 5:10:00,2022-05-05 오전 5:00:10,2022-05-05 오전 5:13:29,서대문구,북아현동,서대문구,충현동,2022/05/05 5:10,2022/05/05 5:13,3,5,37.56,126.95,37.56,126.96
1280,7906,중형승합,2022-05-05 오전 5:10:00,2022-05-05 오전 4:45:10,2022-05-05 오전 5:21:41,동작구,신대방제2동,영등포구,신길제6동,2022/05/05 5:10,2022/05/05 5:21,11,5,37.5,126.92,37.5,126.91
1281,8159,중형 승합,2022-05-05 오전 5:14:00,2022-05-05 오전 5:17:40,2022-05-05 오전 5:34:58,중랑구,면목제2동,동대문구,답십리제4동,2022/05/05 5:14,2022/05/05 5:34,20,5,37.59,127.07,37.57,127.05
1282,8279,중형 승합,2022-05-05 오전 5:20:00,2022-05-05 오전 4:52:15,2022-05-05 오전 5:19:34,강북구,송천동,도봉구,쌍문제3동,2022/05/05 5:20,2022/05/05 5:19,1,5,37.61,127.02,37.65,127.03
1283,5737,중형승합,2022-05-05 오전 5:30:00,2022-05-05 오전 5:01:42,2022-05-05 오전 5:26:13,송파구,거여1동,송파구,풍납2동,2022/05/05 5:30,2022/05/05 5:26,4,5,37.49,127.14,37.53,127.11
