,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon,startplus,endplus,gotowork,gotoschool,gotocharge,end_destination
69,808,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:02:55,2022-05-07 오전 7:16:22,19,196,18,125,2022/05/07 7:00,2022/05/07 7:16,16,7,37.5,126.9,37.54,126.97,7569,7569,0,0,0,0.0
70,6144,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:16,2022-05-07 오전 7:29:32,19,145,20,308,2022/05/07 7:00,2022/05/07 7:29,29,7,37.51,126.9,37.5,126.87,7569,7568,0,0,0,0.0
71,9141,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:00,2022-05-07 오전 7:18:48,11,49,15,40,2022/05/07 7:00,2022/05/07 7:18,18,7,37.61,127.09,37.63,127.05,7670,7670,0,0,0,0.0
72,6781,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:07:31,2022-05-07 오전 7:24:35,5,192,14,291,2022/05/07 7:00,2022/05/07 7:24,24,7,37.56,127.01,37.59,127.05,7570,7570,0,0,0,0.0
73,8156,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:06:58,2022-05-07 오전 7:19:40,7,3,6,314,2022/05/07 7:00,2022/05/07 7:19,19,7,37.54,126.94,37.59,127.0,7569,7570,0,0,0,0.0
74,5725,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:53,2022-05-07 오전 7:31:15,1,8,1,299,2022/05/07 7:00,2022/05/07 7:31,31,7,37.49,127.15,37.53,127.11,7471,7571,0,0,0,0.0
75,3564,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:02,2022-05-07 오전 7:21:39,24,67,13,2,2022/05/07 7:00,2022/05/07 7:21,21,7,37.57,126.84,37.57,126.93,7568,7569,0,0,0,0.0
76,3604,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:04:19,2022-05-07 오전 7:17:49,14,328,1,299,2022/05/07 7:00,2022/05/07 7:17,17,7,37.57,127.07,37.53,127.11,7570,7571,0,0,0,0.0
77,6756,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:03,2022-05-07 오전 7:36:10,24,268,24,189,2022/05/07 7:00,2022/05/07 7:36,36,7,37.56,126.86,37.55,126.84,7568,7568,0,0,0,0.0
78,6749,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:08:56,2022-05-07 오전 7:37:12,21,287,21,16,2022/05/07 7:00,2022/05/07 7:37,37,7,37.47,127.04,37.49,127.05,7470,7470,0,0,0,0.0
79,3602,중형 승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:09:02,2022-05-07 오전 7:40:37,24,194,24,233,2022/05/07 7:00,2022/05/07 7:40,40,7,37.55,126.84,37.55,126.83,7568,7568,0,0,0,0.0
80,5586,중형승합,2022-05-07 오전 7:00:00,2022-05-07 오전 7:29:32,2022-05-07 오전 7:45:17,1,149,1,174,2022/05/07 7:00,2022/05/07 7:45,45,7,37.49,127.15,37.49,127.13,7471,7471,0,0,0,0.0
